#species: Scientific name.
#prop_fp_sv_abundant: Fraction of frame-preserving spliced variants among abundant variants of protein-coding genes.
#prop_fp_sv_abundant_busco: Fraction of frame-preserving spliced variants among abundant variants of BUSCO genes.
#prop_fp_sv_rare: Fraction of frame-preserving spliced variants among rare variants of protein-coding genes.
#prop_fp_sv_rare_busco: Fraction of frame-preserving spliced variants among rare variants of BUSCO genes.
#prop_fp_sv_all: Fraction of frame-preserving spliced variants among protein-coding genes.
#prop_fp_sv_all_busco: Fraction of frame-preserving spliced variants among BUSCO genes.
species	reg_linear	prop_fp_sv_abundant	prop_fp_sv_abundant_busco	prop_fp_sv_rare	prop_fp_sv_rare_busco	prop_fp_sv_all	prop_fp_sv_all_busco
Tribolium_castaneum	53.0876694088261	0.614101592115239	0.569230769230769	0.346582258193766	0.320957095709571	0.372155384838382	0.333594361785435
Dendroctonus_ponderosae	56.9016373520701	0.662751677852349	0.573170731707317	0.359720813696832	0.321727019498607	0.388927820602663	0.335309617918314
Leptinotarsa_decemlineata	53.2933763194467	0.617743702081051	0.557692307692308	0.35640739362362	0.32625	0.382995319812793	0.34037558685446
Anoplophora_glabripennis	57.5200770118646	0.660282258064516	0.610169491525424	0.384925072690673	0.336363636363636	0.43492586490939	0.3687374749499
Bombyx_mori	56.3774921542653	0.6421143847487	0.395061728395062	0.356627296587927	0.317647058823529	0.402068965517241	0.325886990801577
Aedes_aegypti	62.5190106154461	0.727965179542981	0.695652173913043	0.35252606255012	0.381278538812785	0.400754822476936	0.396963123644252
Ceratitis_capitata	57.5336626552356	0.65489404641776	0.557692307692308	0.328983897834536	0.319027181688126	0.368395363026235	0.335552596537949
Lucilia_cuprina	64.283730107693	0.722304283604136	0.625	0.329573934837093	0.235294117647059	0.386543818298693	0.263636363636364
Musca_domestica	64.3704821281531	0.726688102893891	0.692307692307692	0.335067637877211	0.254355400696864	0.404564907275321	0.29073482428115
Drosophila_grimshawi	67.3240199197405	0.76678445229682	0.72	0.394874476987448	0.414364640883978	0.479822437449556	0.451456310679612
Drosophila_pseudoobscura	60.7710840336901	0.699897225077081	0.688888888888889	0.342335939350865	0.320987654320988	0.379288369622942	0.344877344877345
Drosophila_suzukii	67.9536372192875	0.758883248730964	0.785714285714286	0.363199615661782	0.346354166666667	0.426176529993941	0.37621359223301
Drosophila_melanogaster	62.8848859171716	0.710243902439024	0.645161290322581	0.304236895005412	0.285851780558229	0.33404971702844	0.296261682242991
Athalia_rosae	52.819047087497	0.613539445628998	0.421875	0.332428238944919	0.283333333333333	0.387304890738814	0.302863436123348
Cephus_cinctus	46.3345648962865	0.540508339952343	0.455696202531646	0.302602201863115	0.265916149068323	0.323624368332398	0.276883686905633
Orussus_abietinus	45.972022977937	0.550912301353737	0.347826086956522	0.328469689074171	0.28236914600551	0.379157725321888	0.292824074074074
Nasonia_vitripennis	58.2906022527287	0.669260700389105	0.656716417910448	0.332587130190501	0.297486033519553	0.360455753281263	0.308352144469526
Trichogramma_pretiosum	61.7232977763182	0.71850699844479	0.649122807017544	0.337413793103448	0.271844660194175	0.406576347727914	0.309440559440559
Polistes_dominula	46.1708704819216	0.547398431931575	0.325581395348837	0.321385902031063	0.240157480314961	0.402401635155851	0.268929503916449
Polistes_canadensis	45.4073313955421	0.549639489739323	0.331034482758621	0.315159817351598	0.267778753292362	0.348310201521211	0.274922118380062
Megachile_rotundata	36.495817500777	0.409823484267076	0.278969957081545	0.288242269451792	0.277874781741083	0.297168615297929	0.277934936350778
Bombus_terrestris	41.8630082200623	0.4960668633235	0.31638418079096	0.293223789443071	0.26738845144357	0.30718976372622	0.270077519379845
Apis_florea	35.9490916971815	0.407506702412869	0.28	0.279364348226624	0.255244755244755	0.31213575591361	0.261044176706827
Apis_mellifera	41.307596572252	0.48030739673391	0.289772727272727	0.298067848805444	0.275242718446602	0.315147422912447	0.276386404293381
Apis_cerana	38.4506646822212	0.4534373476353	0.305699481865285	0.312216841118575	0.303242212333121	0.331717498148522	0.303510758776897
Harpegnathos_saltator	52.0238678962194	0.597103004291845	0.414634146341463	0.321222646752345	0.294234592445328	0.352850728827111	0.303308823529412
Linepithema_humile	49.8804502683588	0.582974137931034	0.308333333333333	0.314926878466969	0.297732696897375	0.343002257336343	0.298440979955457
Camponotus_floridanus	47.314948755378	0.556048834628191	0.358490566037736	0.315085493656922	0.262650602409639	0.363043958471394	0.273504273504274
Pogonomyrmex_barbatus	44.1542028467592	0.533494266747133	0.293650793650794	0.296783394073839	0.271197846567968	0.324252398627355	0.272952853598015
Acromyrmex_echinatior	42.8820842241399	0.502501389660923	0.296551724137931	0.290348031910231	0.232244318181818	0.31924882629108	0.238248551191243
Solenopsis_invicta	49.8163312396886	0.565417488494412	0.3	0.303093050342953	0.253763440860215	0.346237024221453	0.258252427184466
