#Extracted table from SRA runinfo table.
Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	species
ERR2603864	2019-02-19 08:13:02	2019-02-24 09:09:07	0	0	0	0	1643	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603864/ERR2603864	ERX2620520	5172sTS.Opossum.Cerebellum.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519740	SAMEA4699569	simple	13616	Monodelphis domestica	SAMEA4699569	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	4D52BA219488491DE374794C343E916C	3F3841C044EC65D20FE9EA758B0A3AB1	Monodelphis_domestica
ERR2603865	2019-02-19 08:13:02	2021-10-24 07:36:50	34931958	3528127758	0	101	1318	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603865/ERR2603865.lite.2	ERX2620521	5135sTS.Opossum.Liver.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519741	SAMEA4699570	simple	13616	Monodelphis domestica	SAMEA4699570	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	BD15931CE2472F4FA8636AAB2B2F58C2	9312D0850F554F63652F5B38378054F0	Monodelphis_domestica
ERR2603866	2019-02-19 08:13:02	2019-02-24 09:10:05	0	0	0	0	1154	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603866.sralite.1	ERX2620522	5138sTS.Opossum.Liver.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519742	SAMEA4699571	simple	13616	Monodelphis domestica	SAMEA4699571	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	9F11A80E90182B233445770704C5D89D	B7FDE89915B35EBEE29B30EF2BD380BB	Monodelphis_domestica
ERR2603867	2019-02-19 08:13:02	2021-10-24 07:34:38	30850880	3115938880	0	101	1146	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603867/ERR2603867.lite.2	ERX2620523	5143sTS.Opossum.Liver.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519743	SAMEA4699572	simple	13616	Monodelphis domestica	SAMEA4699572	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	CABFC2F49A889F70DC18641F4BB105ED	842D03EA65CCD85A214D3ED0F60243BA	Monodelphis_domestica
ERR2603868	2019-02-19 08:13:02	2019-02-24 09:11:27	0	0	0	0	1492	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603868.sralite.1	ERX2620524	5209sTS.Opossum.Liver.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519744	SAMEA4699573	simple	13616	Monodelphis domestica	SAMEA4699573	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	412E23F3D848DBACCEE31C170ABB84D8	B3DF1AAB0FD37F03B7BE0EE643DC186A	Monodelphis_domestica
ERR2603869	2019-02-19 08:13:02	2021-10-24 07:35:37	26171042	2643275242	0	101	902	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/603/ERR2603869.sralite.1	ERX2620525	4951sTS.Opossum.Ovary.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519745	SAMEA4699574	simple	13616	Monodelphis domestica	SAMEA4699574	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	4E2F18CBE3EF6AD651B53732ADD107FD	C9A8039416172A422C6A802F16EFDACB	Monodelphis_domestica
ERR2603870	2019-02-19 08:13:02	2019-02-24 09:11:19	0	0	0	0	616	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603870/ERR2603870	ERX2620526	5326sTS.Opossum.Ovary.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519746	SAMEA4699575	simple	13616	Monodelphis domestica	SAMEA4699575	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	DB846E70FF249D3899CE62A4AFCC170D	5A07F5F2D4CC4A30B0ACAE191A704963	Monodelphis_domestica
ERR2603871	2019-02-19 08:13:02	2021-10-24 07:36:36	32934890	3326423890	0	101	1213	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603871/ERR2603871.lite.2	ERX2620527	5327sTS.Opossum.Testis.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519747	SAMEA4699576	simple	13616	Monodelphis domestica	SAMEA4699576	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	3CD999097FEB397F4BE9575BD037DAAB	570003AF77B0FE57478FA8020C3EFF94	Monodelphis_domestica
ERR2603872	2019-02-19 08:13:02	2019-02-24 09:12:07	0	0	0	0	840	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603872/ERR2603872	ERX2620528	5328sTS.Opossum.Testis.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519748	SAMEA4699577	simple	13616	Monodelphis domestica	SAMEA4699577	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	97BEE403556D3309892F179210DDDC79	FEDA5DB285F0D5B126F957A58EC95A08	Monodelphis_domestica
ERR2603873	2019-02-19 08:13:02	2019-02-24 09:12:41	0	0	0	0	681	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603873/ERR2603873	ERX2620529	4647sTS.Opossum.Brain.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519749	SAMEA4699578	simple	13616	Monodelphis domestica	SAMEA4699578	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	9318A7436C524AA2B416B908B324E43B	425D259A159E0CCC295E3B918C7BCA7D	Monodelphis_domestica
ERR2603874	2019-02-19 08:13:02	2019-02-24 09:12:25	0	0	0	0	1239	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603874/ERR2603874	ERX2620530	4643sTS.Opossum.Heart.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519750	SAMEA4699579	simple	13616	Monodelphis domestica	SAMEA4699579	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	E474AC9693C56E5D647638666E7A52F0	1179185C59C20D9190A18FD49FB16328	Monodelphis_domestica
ERR2603875	2019-02-19 08:13:02	2019-02-24 09:14:19	0	0	0	0	2013	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603875/ERR2603875	ERX2620531	5871sTS.Opossum.Heart.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519751	SAMEA4699580	simple	13616	Monodelphis domestica	SAMEA4699580	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	852D55F9C6045BBCFEDB97E8D45E1922	ABBC5A65B01DCBE8B6DB0F7F6626C936	Monodelphis_domestica
ERR2603876	2019-02-19 08:13:02	2019-02-24 09:14:21	0	0	0	0	1889	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603876.sralite.1	ERX2620532	5873sTS.Opossum.Heart.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519752	SAMEA4699581	simple	13616	Monodelphis domestica	SAMEA4699581	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	32EAFE2FD3EFB32B41319B20B6B30D13	E8CDF7034BCB7811F5C96180D2D17A06	Monodelphis_domestica
ERR2603877	2019-02-19 08:13:02	2019-02-24 09:19:48	0	0	0	0	3366	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603877.sralite.1	ERX2620533	4648sTS2.Opossum.Cerebellum.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519753	SAMEA4699582	simple	13616	Monodelphis domestica	SAMEA4699582	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	C98DB325DC4B0A2F5F2F7EEBDCD77BBC	3BDB0093D9D5135879EF69C92C793316	Monodelphis_domestica
ERR2603878	2019-02-19 08:13:02	2021-10-24 07:43:55	48199826	4868182426	0	101	1724	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603878/ERR2603878.lite.2	ERX2620534	5869sTS.Opossum.Cerebellum.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519754	SAMEA4699583	simple	13616	Monodelphis domestica	SAMEA4699583	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	9FDDF5EB1124C129B4733810A4674F5C	431FD68945C6DB2CC83BC2BCE8DA363A	Monodelphis_domestica
ERR2603879	2019-02-19 08:13:02	2019-02-24 09:16:33	0	0	0	0	1914	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603879.sralite.1	ERX2620535	5874sTS.Opossum.Cerebellum.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519755	SAMEA4699584	simple	13616	Monodelphis domestica	SAMEA4699584	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	1407FD078200337578984E773763294D	A949F7F2C5A59AC8730F578383B6DCAD	Monodelphis_domestica
ERR2603880	2019-02-19 08:13:02	2019-02-24 09:15:12	0	0	0	0	768	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603880/ERR2603880	ERX2620536	4644sTS.Opossum.Kidney.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519756	SAMEA4699585	simple	13616	Monodelphis domestica	SAMEA4699585	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	9DE6865871D542D578C5639D7BBD455F	84B403D0ADC79B0FDC62CA549864445A	Monodelphis_domestica
ERR2603881	2019-02-19 08:13:02	2021-10-24 07:32:16	21797769	2201574669	0	101	759	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/603/ERR2603881.sralite.1	ERX2620537	4659sTS.Opossum.Kidney.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519757	SAMEA4699586	simple	13616	Monodelphis domestica	SAMEA4699586	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	872E2101CE9DF4257C9AA08C77E31D51	9A05FBD0AB9CDBE7AC65A924CEA62E55	Monodelphis_domestica
ERR2603882	2019-02-19 08:13:02	2019-02-24 09:16:33	0	0	0	0	1568	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603882/ERR2603882	ERX2620538	4729sTSm.Opossum.Kidney.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519758	SAMEA4699587	simple	13616	Monodelphis domestica	SAMEA4699587	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	1AAA324135DE7BB9EE50564DA3932F88	D892EE45879107ADDF8E8A9FA4D67241	Monodelphis_domestica
ERR2603883	2019-02-19 08:13:02	2021-10-24 07:40:02	35816842	3617501042	0	101	1298	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603883/ERR2603883.lite.2	ERX2620539	4660sTS.Opossum.Liver.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519759	SAMEA4699588	simple	13616	Monodelphis domestica	SAMEA4699588	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	8E61C2717F374826CC0E491E9D9CE4A4	89961AE469D5153C63DA41753CF8FAB6	Monodelphis_domestica
ERR2603884	2019-02-19 08:13:02	2021-10-24 07:34:33	28077469	2835824369	0	101	1007	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/603/ERR2603884.sralite.1	ERX2620540	5851sTS.Opossum.Liver.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519760	SAMEA4699589	simple	13616	Monodelphis domestica	SAMEA4699589	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	0CA2AC59313C742DE915FF53E7B331A2	78F3E4A2F204CFB46069D6AB673FB525	Monodelphis_domestica
ERR2603885	2019-02-19 08:13:02	2019-02-24 09:18:11	0	0	0	0	1024	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603885/ERR2603885	ERX2620541	5872sTS.Opossum.Liver.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519761	SAMEA4699590	simple	13616	Monodelphis domestica	SAMEA4699590	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	A62F079A62B1C1B2807A9BF0A7104441	1C3B8522079BB2497E86D7415E945B04	Monodelphis_domestica
ERR2603886	2019-02-19 08:13:02	2019-02-24 09:19:11	0	0	0	0	1552	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603886.sralite.1	ERX2620542	5875sTS.Opossum.Liver.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519762	SAMEA4699591	simple	13616	Monodelphis domestica	SAMEA4699591	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	A20D520ADD6AAF0F55078EB4AECB1F49	70C8D83660E84CA37719DFEE27FB4678	Monodelphis_domestica
ERR2603887	2019-02-19 08:13:02	2021-10-24 07:47:21	83830247	8466854947	0	101	3032	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603887/ERR2603887.lite.2	ERX2620543	4658sTS.Opossum.Ovary.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519763	SAMEA4699592	simple	13616	Monodelphis domestica	SAMEA4699592	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	AF6571D00E77CF4752C44EC8E870B6F7	26E752D1443D38990D7AB3DC0E0B5D19	Monodelphis_domestica
ERR2603888	2019-02-19 08:13:02	2019-02-24 09:21:21	0	0	0	0	1345	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603888.sralite.1	ERX2620544	5870sTS.Opossum.Ovary.60dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519764	SAMEA4699593	simple	13616	Monodelphis domestica	SAMEA4699593	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	6EB9BE730EF2291E268B5E254127E464	2E77AD2CFA3365CB4A01A656D98F5B40	Monodelphis_domestica
ERR2603889	2019-02-19 08:13:02	2019-02-24 09:20:28	0	0	0	0	2006	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603889/ERR2603889	ERX2620545	4661sTS.Opossum.Testis.60dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035	NA	523156	ERS2519765	SAMEA4699594	simple	13616	Monodelphis domestica	SAMEA4699594	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Lausanne Genomics Technology Facility	ERA1502210	NA	public	1D1655511EBFD06D4747F3AFF5912841	3EA75D826BDA7B6653F2C260388AF3DD	Monodelphis_domestica
