group	mean_polymorphism	Nb_introns_minor	svr_mean	pvalue_vs_control	percent_difference_vs_control	error_bar	error_bar_2	color_group	filtering	significance	difference_vs_rare
GT control 20-60bp into major intron 3' side	0.0423371711072033	30139	0.00178117225672155	NA	NA	0.0407505342183525	0.0439824380371952	blue	Drosophila_melanogaster_rare_sv	NA	NA
GT control 20-60bp into major exon 3' side	0.0151560875834088	29823	0.00177510568773976	NA	NA	0.0141982598622613	0.016176896975435	blue	Drosophila_melanogaster_rare_sv	NA	NA
AG unshared major splice site	0.0055227149619651	212305	0.00157879965959222	NA	NA	0.00530308213138442	0.00575134206627305	green	Homo_sapiens_rare_sv	NA	NA
AG unshared minor splice site into major intron	0.0223523627932315	150521	0.00160815271989581	0.0000000000000000000000000000000000155706611761138	-15.0521651730164	0.0218287191749991	0.0228882346781502	red	Homo_sapiens_rare_sv	***	NA
AG unshared minor splice site into major exon	0.0174640683672148	61784	0.00150728839470233	0.295483928995575	-2.81494692249886	0.0167445946067822	0.0182137093409684	red	Homo_sapiens_rare_sv	NA	NA
AG control 20-60bp into major intron 5' side	0.0263130459284305	354900	0.00165753972093027	NA	NA	0.0259425315811594	0.0266886971628564	blue	Homo_sapiens_rare_sv	NA	NA
AG control 20-60bp into major exon 5' side	0.0179699118477488	371176	0.00165427942116102	NA	NA	0.0176695398093053	0.0182752837141588	blue	Homo_sapiens_rare_sv	NA	NA
GT no CpG unshared major splice site	0.00628340442009047	170449	0.00176131447679435	NA	NA	0.00602221944201093	0.00655577781935074	green	Homo_sapiens_rare_sv	NA	NA
GT no CpG unshared minor splice site into major intron	0.0277036048064085	145306	0.00173805984089456	0.503208759753067	-1.38041875739533	0.0271114127885685	0.0283083187714998	red	Homo_sapiens_rare_sv	NA	NA
GT no CpG unshared minor splice site into major exon	0.0212953725730949	26062	0.00193463805054904	0.999999504309518	13.6456344444593	0.0200815140628749	0.0225803313184043	red	Homo_sapiens_rare_sv	NA	NA
GT no CpG control 20-60bp into major intron 3' side	0.0280913835339227	338004	0.00165164220643802	NA	NA	0.0276994357391918	0.0284887046709696	blue	Homo_sapiens_rare_sv	NA	NA
GT no CpG control 20-60bp into major exon 3' side	0.018738399127423	313554	0.00166892189424042	NA	NA	0.0184049344189166	0.0190777739093446	blue	Homo_sapiens_rare_sv	NA	NA
GT CpG unshared major splice site	0.0540540540540541	296	0.0678096228712097	NA	NA	0.037839175082248	0.0762815595434345	green	Homo_sapiens_CpG_abundant_sv	NA	49.6685364609893
GT CpG unshared minor splice site into major intron	0.0769230769230769	143	0.0671898409239203	0.000922318186550831	-49.671729544341	0.0499322841192502	0.115748903570934	red	Homo_sapiens_CpG_abundant_sv	**	-42.1245421245421
GT CpG unshared minor splice site into major exon	0.05	80	0.0906717408955438	0.0072577046118019	-59.0449438202247	0.023434508590469	0.0995077565398449	red	Homo_sapiens_CpG_abundant_sv	*	-44.1287878787879
GT CpG control 20-60bp into major intron 3' side	0.152842679127726	2568	0.0730423605816893	NA	NA	0.143166667971762	0.16304274284936	blue	Homo_sapiens_CpG_abundant_sv	NA	-3.74538901297003
GT CpG control 20-60bp into major exon 3' side	0.122085048010974	3645	0.0729915220728816	NA	NA	0.114701471642119	0.129870329253479	blue	Homo_sapiens_CpG_abundant_sv	NA	7.02935292406774
GT CpG unshared major splice site	0.0361158432708688	5870	0.00180728703859179	NA	NA	0.0328490493543334	0.039689939114359	green	Homo_sapiens_CpG_rare_sv	NA	NA
GT CpG unshared minor splice site into major intron	0.132911392405063	3476	0.00166131165496775	0.0000000324875870450486	-16.2973690025228	0.125063636854907	0.141168259479102	red	Homo_sapiens_CpG_rare_sv	***	NA
GT CpG unshared minor splice site into major exon	0.0894915254237288	1475	0.00140832999630689	0.000044383932231003	-21.544691882101	0.0795569792105863	0.100511334540831	red	Homo_sapiens_CpG_rare_sv	***	NA
GT CpG control 20-60bp into major intron 3' side	0.158789981654303	50148	0.00165678241915176	NA	NA	0.156536216665308	0.161069940763327	blue	Homo_sapiens_CpG_rare_sv	NA	NA
GT CpG control 20-60bp into major exon 3' side	0.114066884154282	74487	0.00162221737183692	NA	NA	0.11245923163335	0.115694480963563	blue	Homo_sapiens_CpG_rare_sv	NA	NA
