#annot_N1N2_sup10: Number of introns with Ns+Na >= 10.
#annotated_intron: Number of annotated introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes.
#average_svr_busco: Average per-intron alternative splicing rate among BUSCO major introns (%).
#no_major_intron: Number of major introns.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
#species: Scientific name.
annot_N1N2_sup10	annotated_intron	sequencing_depth	average_svr_busco	no_major_intron	no_compiled_rna_seq	replicate	echantillon	selection	samples	species
7627	11122	69.7575757575758	0.02676709897283	6345	2	15	all introns	0	ERR2598223,ERR2598336	Homo_sapiens
6988	11122	48.6265059441086	0.0309622734276884	5729	2	16	all introns	0	ERR2598354,ERR2598083	Homo_sapiens
8636	11122	75.5082435436586	0.0278730849045943	7019	2	17	all introns	0	ERR2598346,ERR2598226	Homo_sapiens
9236	11122	80.4295349860952	0.0284807494834651	7417	2	18	all introns	0	ERR2598222,ERR2598092	Homo_sapiens
8708	11122	59.7898536184235	0.0294954200369508	7085	2	19	all introns	0	ERR2598258,ERR2598149	Homo_sapiens
8083	11122	59.8489478114479	0.0272043436720163	6669	2	20	all introns	0	ERR2598280,ERR2598125	Homo_sapiens
7382	11122	32.7543621110384	0.0209896489198349	6269	2	21	all introns	0	ERR2598161,ERR2598300	Homo_sapiens
6389	11122	47.6350774560853	0.0271133747960965	5250	2	22	all introns	0	ERR2598357,ERR2598282	Homo_sapiens
7915	11122	38.3369535159177	0.0237502014065602	6698	2	23	all introns	0	ERR2598292,ERR2598240	Homo_sapiens
7438	11122	53.4769272772965	0.0245708157469668	6197	2	24	all introns	0	ERR2598070,ERR2598069	Homo_sapiens
7612	11122	76.6158778881122	0.0301689074992914	6257	2	25	all introns	0	ERR2598288,ERR2598295	Homo_sapiens
7292	11122	41.6712296789225	0.0253740149656568	6185	2	26	all introns	0	ERR2598336,ERR2598314	Homo_sapiens
8292	11122	42.7578642483605	0.0238250376315459	6975	2	27	all introns	0	ERR2598221,ERR2598261	Homo_sapiens
8785	11122	70.3831481732864	0.0292412060846498	7197	2	28	all introns	0	ERR2598117,ERR2598120	Homo_sapiens
8764	11122	87.8499019017843	0.0358762649063768	6949	2	29	all introns	0	ERR2598363,ERR2598229	Homo_sapiens
8898	11122	77.228075181715	0.0286686067045786	7223	2	30	all introns	0	ERR2598093,ERR2598250	Homo_sapiens
9687	11122	126.276762599314	0.0338177622311476	7499	3	1	all introns	0	ERR2598133,ERR2598308,ERR2598138	Homo_sapiens
9058	11122	116.606453556543	0.0362728947671009	7154	3	2	all introns	0	ERR2598353,ERR2598127,ERR2598295	Homo_sapiens
7851	11122	52.189366894404	0.0243214974198144	6515	3	3	all introns	0	ERR2598339,ERR2598075,ERR2598204	Homo_sapiens
9402	11122	105.850484116035	0.0317182230128492	7423	3	4	all introns	0	ERR2598267,ERR2598163,ERR2598208	Homo_sapiens
9042	11122	70.2549672915446	0.026702724436025	7351	3	5	all introns	0	ERR2598160,ERR2598259,ERR2598128	Homo_sapiens
9158	11122	116.4385422962	0.0287694431573929	7292	3	6	all introns	0	ERR2598200,ERR2598223,ERR2598228	Homo_sapiens
8953	11122	98.7797658388296	0.0269703516360518	7246	3	7	all introns	0	ERR2598291,ERR2598326,ERR2598299	Homo_sapiens
8110	11122	63.13706570536	0.0328128866804157	6544	3	8	all introns	0	ERR2598285,ERR2598312,ERR2598053	Homo_sapiens
9284	11122	104.485062742239	0.0300358016394346	7347	3	9	all introns	0	ERR2598352,ERR2598196,ERR2598233	Homo_sapiens
8945	11122	73.2288988920125	0.0267215400288056	7245	3	10	all introns	0	ERR2598161,ERR2598121,ERR2598052	Homo_sapiens
9325	11122	90.8913170072502	0.0277339334929828	7481	3	11	all introns	0	ERR2598091,ERR2598240,ERR2598114	Homo_sapiens
9107	11122	82.2306419413424	0.0244853776845017	7414	3	12	all introns	0	ERR2598210,ERR2598243,ERR2598219	Homo_sapiens
8816	11122	90.4766449208788	0.023875245007085	7184	3	13	all introns	0	ERR2598124,ERR2598188,ERR2598103	Homo_sapiens
8246	11122	58.2407676190933	0.0274045850853382	6763	3	14	all introns	0	ERR2598320,ERR2598089,ERR2598084	Homo_sapiens
8592	11122	74.6665240130083	0.0271389084876672	7035	3	15	all introns	0	ERR2598319,ERR2598357,ERR2598144	Homo_sapiens
8812	11122	72.5715861569629	0.0254989159722365	7195	3	16	all introns	0	ERR2598324,ERR2598101,ERR2598247	Homo_sapiens
9089	11122	86.2337076332704	0.0296637323569529	7396	3	17	all introns	0	ERR2598292,ERR2598197,ERR2598336	Homo_sapiens
8827	11122	82.1785078521634	0.0276023333572975	7156	3	18	all introns	0	ERR2598109,ERR2598349,ERR2598100	Homo_sapiens
9289	11122	95.0909542979328	0.0268977169001831	7432	3	19	all introns	0	ERR2598105,ERR2598123,ERR2598098	Homo_sapiens
9108	11122	72.3304327036208	0.0252622221682458	7403	3	20	all introns	0	ERR2598196,ERR2598054,ERR2598310	Homo_sapiens
9322	11122	134.138485432727	0.0269584311520345	7411	3	21	all introns	0	ERR2598076,ERR2598346,ERR2598253	Homo_sapiens
8837	11122	66.7785517113449	0.029043026853608	7160	3	22	all introns	0	ERR2598330,ERR2598117,ERR2598296	Homo_sapiens
9155	11122	96.1297075304968	0.0270776448758265	7382	3	23	all introns	0	ERR2598295,ERR2598139,ERR2598124	Homo_sapiens
9412	11122	104.438061451656	0.0284426418185124	7484	3	24	all introns	0	ERR2598079,ERR2598167,ERR2598058	Homo_sapiens
9235	11122	89.9067989589094	0.0250419179619743	7479	3	25	all introns	0	ERR2598096,ERR2598136,ERR2598174	Homo_sapiens
9094	11122	78.5564853830992	0.028750285028397	7330	3	26	all introns	0	ERR2598316,ERR2598056,ERR2598190	Homo_sapiens
9142	11122	90.3529887878226	0.0250456148853858	7412	3	27	all introns	0	ERR2598060,ERR2598118,ERR2598110	Homo_sapiens
8760	11122	64.0427726954864	0.0275205515372712	7181	3	28	all introns	0	ERR2598105,ERR2598243,ERR2598259	Homo_sapiens
9520	11122	108.884377540054	0.0350234710863328	7380	3	29	all introns	0	ERR2598229,ERR2598052,ERR2598362	Homo_sapiens
9457	11122	118.272809607893	0.0258068095679724	7534	3	30	all introns	0	ERR2598143,ERR2598347,ERR2598068	Homo_sapiens
8745	11122	87.7026870027525	0.0256672562403241	7104	4	1	all introns	0	ERR2598151,ERR2598307,ERR2598342,ERR2598063	Homo_sapiens
9282	11122	135.116258811817	0.0341929314716855	7218	4	2	all introns	0	ERR2598360,ERR2598290,ERR2598289,ERR2598252	Homo_sapiens
9317	11122	92.456775582703	0.026076171269362	7477	4	3	all introns	0	ERR2598159,ERR2598175,ERR2598074,ERR2598105	Homo_sapiens
9397	11122	113.408989332845	0.0279766777268623	7490	4	4	all introns	0	ERR2598117,ERR2598300,ERR2598131,ERR2598148	Homo_sapiens
9473	11122	138.968353463292	0.0292119659466014	7479	4	5	all introns	0	ERR2598165,ERR2598154,ERR2598350,ERR2598199	Homo_sapiens
9558	11122	158.789326267444	0.0341439723296688	7392	4	6	all introns	0	ERR2598363,ERR2598268,ERR2598200,ERR2598331	Homo_sapiens
9456	11122	103.729921456243	0.0319187508309204	7475	4	7	all introns	0	ERR2598171,ERR2598062,ERR2598341,ERR2598160	Homo_sapiens
9493	11122	132.67028865648	0.028385119976059	7538	4	8	all introns	0	ERR2598310,ERR2598197,ERR2598262,ERR2598299	Homo_sapiens
8970	11122	92.5668088421376	0.0291489782266579	7227	4	9	all introns	0	ERR2598317,ERR2598354,ERR2598113,ERR2598322	Homo_sapiens
9331	11122	103.004122484568	0.026282115709892	7467	4	10	all introns	0	ERR2598132,ERR2598169,ERR2598174,ERR2598185	Homo_sapiens
9483	11122	123.816269529434	0.0291182592778759	7448	4	11	all introns	0	ERR2598234,ERR2598198,ERR2598350,ERR2598117	Homo_sapiens
9446	11122	129.39847033454	0.0283969684176605	7478	4	12	all introns	0	ERR2598072,ERR2598125,ERR2598193,ERR2598174	Homo_sapiens
9514	11122	136.750408885236	0.0294113886107212	7484	4	13	all introns	0	ERR2598135,ERR2598136,ERR2598178,ERR2598325	Homo_sapiens
9616	11122	155.599702027706	0.0305639476655317	7453	4	14	all introns	0	ERR2598119,ERR2598130,ERR2598309,ERR2598089	Homo_sapiens
9337	11122	143.757899837935	0.0336988461120127	7332	4	15	all introns	0	ERR2598363,ERR2598077,ERR2598144,ERR2598244	Homo_sapiens
8910	11122	85.4042952864644	0.0249260776051249	7259	4	16	all introns	0	ERR2598085,ERR2598275,ERR2598075,ERR2598297	Homo_sapiens
9312	11122	106.563885953471	0.0295599097737454	7423	4	17	all introns	0	ERR2598077,ERR2598331,ERR2598155,ERR2598211	Homo_sapiens
9760	11122	148.607695839869	0.0316190456203949	7519	4	18	all introns	0	ERR2598128,ERR2598238,ERR2598278,ERR2598092	Homo_sapiens
9639	11122	138.034398705508	0.0290120805903426	7556	4	19	all introns	0	ERR2598324,ERR2598282,ERR2598182,ERR2598348	Homo_sapiens
9430	11122	109.703945593525	0.0269705310547879	7515	4	20	all introns	0	ERR2598110,ERR2598307,ERR2598068,ERR2598310	Homo_sapiens
9355	11122	104.269119586797	0.029200142814313	7433	4	21	all introns	0	ERR2598123,ERR2598287,ERR2598117,ERR2598304	Homo_sapiens
9265	11122	106.330332218861	0.0293642251567267	7382	4	22	all introns	0	ERR2598075,ERR2598314,ERR2598245,ERR2598099	Homo_sapiens
8991	11122	125.969204893703	0.0309799333211369	7155	4	23	all introns	0	ERR2598228,ERR2598348,ERR2598244,ERR2598251	Homo_sapiens
8362	11122	97.4217227527798	0.0293682118674051	6679	4	24	all introns	0	ERR2598084,ERR2598161,ERR2598363,ERR2598090	Homo_sapiens
9510	11122	123.319329456975	0.0300378136264573	7506	4	25	all introns	0	ERR2598198,ERR2598333,ERR2598260,ERR2598093	Homo_sapiens
9224	11122	101.582897794593	0.0264485351982299	7458	4	26	all introns	0	ERR2598188,ERR2598333,ERR2598199,ERR2598225	Homo_sapiens
9734	11122	208.483039472108	0.030882749374466	7535	4	27	all introns	0	ERR2598272,ERR2598165,ERR2598118,ERR2598265	Homo_sapiens
9064	11122	86.5318824772449	0.0273352834209454	7298	4	28	all introns	0	ERR2598155,ERR2598112,ERR2598209,ERR2598052	Homo_sapiens
9204	11122	105.611510615644	0.0280240368959826	7335	4	29	all introns	0	ERR2598354,ERR2598189,ERR2598124,ERR2598169	Homo_sapiens
9151	11122	102.094717928205	0.0271604134214495	7336	4	30	all introns	0	ERR2598075,ERR2598243,ERR2598190,ERR2598342	Homo_sapiens
9467	11122	157.065965040362	0.028715403345235	7448	5	1	all introns	0	ERR2598263,ERR2598060,ERR2598255,ERR2598287,ERR2598306	Homo_sapiens
9642	11122	140.303246946582	0.0317977051187152	7516	5	2	all introns	0	ERR2598176,ERR2598184,ERR2598236,ERR2598229,ERR2598278	Homo_sapiens
9809	11122	209.932759576367	0.029019806442431	7588	5	3	all introns	0	ERR2598240,ERR2598078,ERR2598182,ERR2598143,ERR2598227	Homo_sapiens
9636	11122	119.008447433301	0.0311921196954496	7501	5	4	all introns	0	ERR2598286,ERR2598080,ERR2598175,ERR2598144,ERR2598313	Homo_sapiens
9058	11122	151.887494344252	0.0268917589991629	7291	5	5	all introns	0	ERR2598351,ERR2598261,ERR2598254,ERR2598067,ERR2598199	Homo_sapiens
9658	11122	134.669941839175	0.0301826812445566	7529	5	6	all introns	0	ERR2598302,ERR2598292,ERR2598313,ERR2598086,ERR2598243	Homo_sapiens
9482	11122	132.460831944913	0.0273093690990393	7524	5	7	all introns	0	ERR2598205,ERR2598252,ERR2598144,ERR2598242,ERR2598239	Homo_sapiens
9733	11122	197.291748734234	0.0340683710650079	7510	5	8	all introns	0	ERR2598246,ERR2598361,ERR2598090,ERR2598079,ERR2598199	Homo_sapiens
9910	11122	245.177158609375	0.0341240355072691	7503	5	9	all introns	0	ERR2598117,ERR2598208,ERR2598309,ERR2598184,ERR2598356	Homo_sapiens
9315	11122	123.910897702839	0.0300896076807721	7385	5	10	all introns	0	ERR2598287,ERR2598134,ERR2598132,ERR2598243,ERR2598233	Homo_sapiens
9198	11122	119.820890647891	0.0293579464279021	7306	5	11	all introns	0	ERR2598260,ERR2598358,ERR2598289,ERR2598132,ERR2598302	Homo_sapiens
9898	11122	244.605057954338	0.0358213302835297	7526	5	12	all introns	0	ERR2598343,ERR2598245,ERR2598277,ERR2598347,ERR2598318	Homo_sapiens
9668	11122	158.053224489982	0.0315916976328915	7513	5	13	all introns	0	ERR2598340,ERR2598170,ERR2598074,ERR2598184,ERR2598229	Homo_sapiens
9737	11122	240.521358547235	0.0291196575466739	7519	5	14	all introns	0	ERR2598052,ERR2598288,ERR2598347,ERR2598088,ERR2598078	Homo_sapiens
9695	11122	152.080231784559	0.0288822996871135	7552	5	15	all introns	0	ERR2598345,ERR2598281,ERR2598327,ERR2598128,ERR2598076	Homo_sapiens
9628	11122	182.738790215308	0.032060831590218	7470	5	16	all introns	0	ERR2598082,ERR2598251,ERR2598089,ERR2598353,ERR2598340	Homo_sapiens
10086	11122	251.713583543962	0.0341586715485386	7599	5	17	all introns	0	ERR2598229,ERR2598323,ERR2598253,ERR2598311,ERR2598066	Homo_sapiens
9830	11122	162.883995315263	0.0305264707847637	7563	5	18	all introns	0	ERR2598264,ERR2598139,ERR2598116,ERR2598362,ERR2598322	Homo_sapiens
9951	11122	203.09399277907	0.0345409003420471	7572	5	19	all introns	0	ERR2598207,ERR2598235,ERR2598319,ERR2598279,ERR2598156	Homo_sapiens
9530	11122	187.220710613474	0.0347981771351023	7391	5	20	all introns	0	ERR2598277,ERR2598090,ERR2598347,ERR2598266,ERR2598284	Homo_sapiens
9462	11122	133.918206772511	0.0297886305619331	7468	5	21	all introns	0	ERR2598054,ERR2598214,ERR2598341,ERR2598260,ERR2598292	Homo_sapiens
9688	11122	155.523098880249	0.0278967899234014	7564	5	22	all introns	0	ERR2598320,ERR2598155,ERR2598192,ERR2598116,ERR2598118	Homo_sapiens
9742	11122	160.112648020608	0.0284179923663087	7588	5	23	all introns	0	ERR2598173,ERR2598192,ERR2598297,ERR2598138,ERR2598104	Homo_sapiens
9699	11122	179.452403858478	0.0267012732594655	7560	5	24	all introns	0	ERR2598088,ERR2598117,ERR2598098,ERR2598255,ERR2598203	Homo_sapiens
9783	11122	187.576221253066	0.0277971331434493	7572	5	25	all introns	0	ERR2598124,ERR2598068,ERR2598197,ERR2598100,ERR2598145	Homo_sapiens
9443	11122	117.54372812479	0.0311053494308113	7460	5	26	all introns	0	ERR2598338,ERR2598259,ERR2598167,ERR2598340,ERR2598150	Homo_sapiens
9561	11122	141.987283951468	0.0266167535633845	7552	5	27	all introns	0	ERR2598155,ERR2598175,ERR2598162,ERR2598079,ERR2598247	Homo_sapiens
9356	11122	166.106998262503	0.0333496015900505	7327	5	28	all introns	0	ERR2598156,ERR2598319,ERR2598075,ERR2598247,ERR2598248	Homo_sapiens
9767	11122	231.159838056227	0.0330768874739893	7514	5	29	all introns	0	ERR2598117,ERR2598078,ERR2598199,ERR2598356,ERR2598217	Homo_sapiens
9615	11122	146.732790943557	0.0320629859855377	7470	5	30	all introns	0	ERR2598203,ERR2598340,ERR2598236,ERR2598352,ERR2598357	Homo_sapiens
10016	11122	265.305344445294	0.0362469860492662	7567	6	1	all introns	0	ERR2598352,ERR2598288,ERR2598201,ERR2598117,ERR2598360,ERR2598259	Homo_sapiens
9552	11122	177.4900838991	0.0297736709931059	7506	6	2	all introns	0	ERR2598255,ERR2598132,ERR2598312,ERR2598084,ERR2598319,ERR2598118	Homo_sapiens
9670	11122	219.256588467449	0.0338098332177206	7472	6	3	all introns	0	ERR2598263,ERR2598137,ERR2598363,ERR2598131,ERR2598052,ERR2598201	Homo_sapiens
9673	11122	170.426535411563	0.0275304668476712	7562	6	4	all introns	0	ERR2598180,ERR2598188,ERR2598134,ERR2598169,ERR2598256,ERR2598173	Homo_sapiens
9584	11122	206.826105812601	0.0290591126681228	7463	6	5	all introns	0	ERR2598232,ERR2598060,ERR2598303,ERR2598069,ERR2598335,ERR2598290	Homo_sapiens
9796	11122	163.748306367354	0.0312066859669839	7568	6	6	all introns	0	ERR2598259,ERR2598194,ERR2598252,ERR2598325,ERR2598315,ERR2598131	Homo_sapiens
9704	11122	166.138814447607	0.0290199579758361	7574	6	7	all introns	0	ERR2598114,ERR2598101,ERR2598164,ERR2598075,ERR2598177,ERR2598328	Homo_sapiens
9702	11122	164.632994203164	0.0270046251330633	7557	6	8	all introns	0	ERR2598095,ERR2598328,ERR2598060,ERR2598321,ERR2598119,ERR2598259	Homo_sapiens
9726	11122	195.218751590004	0.0329608255275807	7509	6	9	all introns	0	ERR2598326,ERR2598325,ERR2598258,ERR2598140,ERR2598062,ERR2598320	Homo_sapiens
9979	11122	218.784817093249	0.0327436951456847	7590	6	10	all introns	0	ERR2598184,ERR2598303,ERR2598328,ERR2598332,ERR2598133,ERR2598089	Homo_sapiens
9591	11122	188.809027070383	0.028905973530463	7478	6	11	all introns	0	ERR2598168,ERR2598109,ERR2598305,ERR2598070,ERR2598281,ERR2598054	Homo_sapiens
9768	11122	185.33987779156	0.0295138031179762	7543	6	12	all introns	0	ERR2598193,ERR2598056,ERR2598091,ERR2598221,ERR2598275,ERR2598148	Homo_sapiens
9616	11122	154.458447928037	0.031215268462487	7512	6	13	all introns	0	ERR2598154,ERR2598167,ERR2598259,ERR2598266,ERR2598331,ERR2598275	Homo_sapiens
9787	11122	192.862303553967	0.0306349092859536	7563	6	14	all introns	0	ERR2598053,ERR2598051,ERR2598098,ERR2598169,ERR2598260,ERR2598327	Homo_sapiens
9356	11122	144.236545147782	0.029947877710583	7412	6	15	all introns	0	ERR2598094,ERR2598229,ERR2598351,ERR2598266,ERR2598103,ERR2598336	Homo_sapiens
9499	11122	132.304992341067	0.0280879859661023	7493	6	16	all introns	0	ERR2598319,ERR2598111,ERR2598322,ERR2598101,ERR2598147,ERR2598112	Homo_sapiens
9714	11122	169.482984400657	0.025928640856621	7601	6	17	all introns	0	ERR2598202,ERR2598128,ERR2598071,ERR2598136,ERR2598140,ERR2598131	Homo_sapiens
9673	11122	179.136579873853	0.0331458393823437	7497	6	18	all introns	0	ERR2598108,ERR2598326,ERR2598074,ERR2598286,ERR2598264,ERR2598317	Homo_sapiens
9977	11122	236.906099797658	0.0296888885143272	7597	6	19	all introns	0	ERR2598157,ERR2598207,ERR2598173,ERR2598232,ERR2598222,ERR2598148	Homo_sapiens
9794	11122	212.958008231434	0.0268840866472204	7587	6	20	all introns	0	ERR2598219,ERR2598132,ERR2598098,ERR2598335,ERR2598220,ERR2598183	Homo_sapiens
9480	11122	152.992039133913	0.0272584006986992	7513	6	21	all introns	0	ERR2598107,ERR2598196,ERR2598343,ERR2598121,ERR2598275,ERR2598268	Homo_sapiens
9665	11122	160.71290969134	0.0294917009750508	7560	6	22	all introns	0	ERR2598219,ERR2598055,ERR2598333,ERR2598188,ERR2598325,ERR2598297	Homo_sapiens
9715	11122	188.173565457855	0.0287446089475207	7582	6	23	all introns	0	ERR2598087,ERR2598343,ERR2598181,ERR2598313,ERR2598358,ERR2598131	Homo_sapiens
10048	11122	278.261891171994	0.0342296365279661	7593	6	24	all introns	0	ERR2598074,ERR2598272,ERR2598204,ERR2598217,ERR2598133,ERR2598072	Homo_sapiens
9798	11122	201.781366735401	0.0284517038361575	7571	6	25	all introns	0	ERR2598347,ERR2598152,ERR2598224,ERR2598176,ERR2598185,ERR2598188	Homo_sapiens
9715	11122	173.08143178859	0.0310086419595826	7550	6	26	all introns	0	ERR2598170,ERR2598219,ERR2598350,ERR2598295,ERR2598330,ERR2598275	Homo_sapiens
10130	11122	257.079285253055	0.0343848255864569	7637	6	27	all introns	0	ERR2598347,ERR2598256,ERR2598171,ERR2598159,ERR2598080,ERR2598360	Homo_sapiens
9741	11122	215.547071190127	0.0309595688973439	7519	6	28	all introns	0	ERR2598304,ERR2598343,ERR2598326,ERR2598237,ERR2598209,ERR2598335	Homo_sapiens
9584	11122	183.213633070458	0.0311766458570094	7465	6	29	all introns	0	ERR2598253,ERR2598299,ERR2598334,ERR2598354,ERR2598326,ERR2598317	Homo_sapiens
9543	11122	145.183847141043	0.0298692580712079	7476	6	30	all introns	0	ERR2598275,ERR2598102,ERR2598357,ERR2598245,ERR2598300,ERR2598230	Homo_sapiens
9871	11122	244.225037112373	0.0292663675084604	7570	7	1	all introns	0	ERR2598219,ERR2598152,ERR2598176,ERR2598263,ERR2598113,ERR2598350,ERR2598193	Homo_sapiens
9896	11122	226.357322292785	0.0286230912787566	7615	7	2	all introns	0	ERR2598359,ERR2598081,ERR2598343,ERR2598264,ERR2598345,ERR2598228,ERR2598099	Homo_sapiens
9815	11122	201.568206377274	0.0288269415662495	7586	7	3	all introns	0	ERR2598110,ERR2598259,ERR2598063,ERR2598323,ERR2598267,ERR2598129,ERR2598149	Homo_sapiens
9892	11122	218.640017483957	0.028764649654243	7587	7	4	all introns	0	ERR2598211,ERR2598224,ERR2598340,ERR2598291,ERR2598332,ERR2598162,ERR2598173	Homo_sapiens
9944	11122	261.913661074038	0.0335068976314986	7616	7	5	all introns	0	ERR2598114,ERR2598059,ERR2598158,ERR2598241,ERR2598273,ERR2598067,ERR2598342	Homo_sapiens
9526	11122	181.050924851746	0.0302122533276656	7486	7	6	all introns	0	ERR2598249,ERR2598077,ERR2598315,ERR2598358,ERR2598316,ERR2598129,ERR2598266	Homo_sapiens
9712	11122	160.572168581863	0.0278736056781919	7565	7	7	all introns	0	ERR2598130,ERR2598112,ERR2598089,ERR2598122,ERR2598241,ERR2598338,ERR2598099	Homo_sapiens
9866	11122	235.915394881457	0.0305357404666289	7542	7	8	all introns	0	ERR2598101,ERR2598183,ERR2598068,ERR2598274,ERR2598253,ERR2598236,ERR2598355	Homo_sapiens
9970	11122	263.062974400607	0.0306213995636671	7609	7	9	all introns	0	ERR2598057,ERR2598218,ERR2598139,ERR2598353,ERR2598339,ERR2598102,ERR2598199	Homo_sapiens
10026	11122	275.514888379329	0.0353772822375351	7581	7	10	all introns	0	ERR2598096,ERR2598166,ERR2598273,ERR2598278,ERR2598151,ERR2598197,ERR2598293	Homo_sapiens
9571	11122	183.571102185363	0.0267867175996726	7564	7	11	all introns	0	ERR2598220,ERR2598248,ERR2598105,ERR2598175,ERR2598108,ERR2598135,ERR2598284	Homo_sapiens
